[' | ', 'Ui', 'L', 'Fi', 'Li', 'Di', 'R', 'D', 'U', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U2', 'L', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', 'R', 'U', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'Di', 'Li', 'D', 'U', 'R2', 'y', 'R', 'Di', 'F', 'D', 'Ui', 'y', 'R2', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'y', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'L', 'Ui', 'Li', 'R', 'U', 'Ri', ' | ', 'U2', 'F', 'U2', 'Fi', 'U2', 'Li', 'Ui', 'L', ' | ', 'yi', 'Li', 'Ui', 'L', 'U2', 'Li', 'U2', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U2', 'L2', 'U', 'Li', 'U', 'L', 'U2', 'Li', ' | ', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui']
[' | ', 'D', 'Ri', 'Di', 'L', 'D', 'yi', 'L', 'Di', 'D', 'Fi', 'Di', 'D2', 'y', 'R', 'D2', ' | ', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U', 'F', 'U', 'Fi', ' | ', 'U', 'Fi', 'U2', 'F', 'yi', 'Li', 'Ui', 'L', ' | ', 'Ui', 'Ri', 'U', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', ' | ', 'Li', 'U2', 'L', 'U2', 'L', 'Fi', 'Li', 'F', ' | ', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'Mi', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'Mi']
[' | ', 'L', 'Di', 'Li', 'D', 'L', 'D2', 'Li', 'D2', 'Di', 'R', 'D', 'Li', ' | ', 'R', 'U2', 'Ri', 'U2', 'Li', 'U', 'L', ' | ', 'Ui', 'y', 'Ri', 'U2', 'R', 'U2', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'U2', 'F', 'Ui', 'R', 'U', 'Ri', ' | ', 'Ui', 'Li', 'U2', 'L', 'Ui', 'Li', 'U', 'L', ' | ', ' | ', 'Fi', 'U2', 'F', 'U2', 'F', 'Ri', 'Fi', 'R', ' | ', 'Ui', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'Ui']
[' | ', 'U2', 'F2', 'U', 'F', 'Ri', 'Fi', 'yi', 'L', 'L', 'Fi', 'Li', ' | ', 'U2', 'yi', 'Li', 'U', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'Ri', 'U', 'R', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', 'U', 'Li', 'Ui', 'L', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Li', 'Ui', 'L', 'U2', 'Li', 'U', 'L', ' | ', ' | ', 'Ri', 'U', 'Li', 'U2', 'R', 'Ui', 'Ri', 'U2', 'R', 'L', ' | ', 'U2', 'L', 'F', 'U', 'Fi', 'Ui', 'L2', 'yi', 'Li', 'Ui', 'L', 'U', 'F', 'U']
[' | ', 'F', 'Di', 'L', 'D', 'R', 'U', 'R', 'y', 'Ri', 'Fi', 'y', 'R', ' | ', 'Li', 'U2', 'L', 'U', 'Fi', 'U', 'F', ' | ', 'Ui', 'Li', 'U2', 'L', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'U', 'L', 'U', 'Li', 'U', 'F', 'Ui', 'Fi', ' | ', 'y', 'Ri', 'U', 'R', ' | ', ' | ', 'Li', 'F', 'D2', 'Fi', 'L', 'U2', 'Li', 'F', 'D2', 'Fi', 'L', ' | ', 'R', 'y', 'R', 'U', 'Ri', 'Ui', 'F2', 'Li', 'Ui', 'L', 'U', 'F']
[' | ', 'R', 'D', 'Ri', 'Di', 'D2', 'Fi', 'D2', 'L', ' | ', 'U', 'yi', 'Li', 'U', 'L', 'U2', 'Fi', 'U', 'F', ' | ', 'U', 'yi', 'Li', 'U2', 'L', 'U', 'Fi', 'U', 'F', ' | ', 'U2', 'Li', 'U2', 'L', 'L', 'U', 'Li', ' | ', 'U', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'L', ' | ', ' | ', 'y', 'R2', 'Ui', 'R', 'F', 'Ri', 'U', 'R2', 'Ui', 'Ri', 'Fi', 'R', ' | ', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui']
[' | ', 'U2', 'F2', 'R2', 'D', 'L', 'Di', 'D', 'F', 'Di', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'U2', 'F', 'Ui', 'Fi', ' | ', 'U2', 'y', 'Ri', 'U2', 'R', 'Li', 'Ui', 'L', ' | ', 'U2', 'R', 'Ui', 'Ri', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U', 'Fi', 'Di', 'F', 'U', 'Fi', 'D', 'F2', ' | ', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'U']
[' | ', 'Di', 'L', 'D', 'L', 'D', 'y', 'R', 'Di', 'R', 'Di', 'F', 'D', 'D', 'Li', 'Di', ' | ', 'U', 'Ri', 'U2', 'R', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'F', 'U', 'Fi', 'yi', 'Li', 'Ui', 'L', ' | ', 'U', 'L', 'U2', 'Li', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', ' | ', 'U', 'L', 'Fi', 'Ui', 'F', 'Li', 'Fi', 'U', 'Li', 'F', ' | ']
[' | ', 'F', 'L', 'D2', 'Li', 'D2', 'y', 'Ri', 'Di', 'R', 'D', ' | ', 'U', 'R', 'Ui', 'Ri', 'U2', 'F', 'U', 'Fi', ' | ', 'Ui', 'yi', 'L', 'U2', 'Li', 'F', 'U', 'Fi', ' | ', 'y', 'Ri', 'Ui', 'R', ' | ', 'R', 'Ui', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', ' | ', 'Ui', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ', 'Mi', 'Ui', 'M', 'U', 'Mi', 'Ui', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui']
[' | ', 'y', 'R', 'D', 'Ri', 'Di', 'Di', 'F', 'D', 'D2', 'F', 'D2', ' | ', 'Ui', 'y', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Fi', 'U', 'F', 'F', 'U', 'Fi', ' | ', 'U2', 'Fi', 'Ui', 'F', 'L', 'U', 'Li', ' | ', 'Ui', 'Fi', 'Ui', 'F', 'R', 'U', 'Ri', ' | ', ' | ', 'y', 'R', 'Ui', 'Li', 'U', 'Ri', 'Ui', 'L', ' | ', 'Ui', 'Mi', 'U', 'Mi', 'U2', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U2']
[' | ', 'L', 'Fi', 'Li', 'F', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', 'yi', 'Li', ' | ', 'L', 'Ui', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'U', 'F', 'U', 'Fi', 'y', 'R', 'Ui', 'Ri', ' | ', 'F', 'U', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'y', 'Ri', 'Ui', 'R', ' | ', 'L', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'R', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'R2', 'U2', 'R', 'U', 'Ri', 'U', 'R', ' | ', 'Ui', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'U']
[' | ', 'D', 'R', 'Di', 'L', 'D2', 'Li', 'D2', 'D2', 'F', 'D2', 'Di', 'yi', 'Li', 'D', ' | ', 'L', 'Ui', 'Li', 'Fi', 'Ui', 'F', ' | ', 'U', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'U2', 'F', 'U2', 'Fi', 'U', 'F', ' | ', 'Ui', 'L', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'R', 'Ui', 'Li', 'U', 'Ri', 'Ui', 'L', ' | ']
[' | ', 'D2', 'y', 'R', 'D2', 'Ui', 'L', 'Fi', 'Li', 'U', 'R2', ' | ', 'Ui', 'R', 'U2', 'Ri', 'U2', 'yi', 'L', 'U', 'Li', ' | ', 'U', 'Ri', 'U', 'R', 'Ui', 'R', 'U', 'Ri', ' | ', 'Ui', 'Ri', 'U2', 'R', 'U', 'F', 'U', 'Fi', ' | ', 'y', 'R', 'U2', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U2', 'Fi', 'L', 'Ui', 'F', 'L', 'Fi', 'U', 'F', 'Li', ' | ']
[' | ', 'F', 'y', 'R', 'D', 'Ri', 'Di', 'F', 'Ri', 'Fi', 'U2', 'yi', 'L2', ' | ', 'U', 'L', 'U', 'Li', ' | ', 'U', 'F', 'U', 'Fi', 'U', 'Li', 'Ui', 'L', ' | ', 'U2', 'Fi', 'U', 'F', 'U', 'R', 'U', 'Ri', ' | ', 'Ri', 'U', 'R', 'U', 'y', 'R', 'U2', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'R', 'U2', 'R', 'D', 'Ri', 'U2', 'R', 'Di', 'R2', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U', 'M', 'U2', 'Mi', 'U', 'M', 'Ui']
[' | ', 'F', 'Ui', 'R', 'y', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', ' | ', 'Ri', 'U', 'R', 'yi', 'L', 'U', 'Li', ' | ', 'Fi', 'U', 'F', 'Ui', 'R', 'Ui', 'Ri', ' | ', 'Ui', 'yi', 'L', 'Ui', 'Li', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'y', 'Ri', 'U2', 'R', 'Ui', 'Ri', 'U', 'R', ' | ', ' | ', 'F', 'Ri', 'Fi', 'R', 'U2', 'R', 'U2', 'Ri', ' | ', 'U', 'M2', 'Ui', 'Mi', 'U2', 'M', 'U', 'Mi', 'Ui', 'M', 'U2', 'M', 'U', 'M', 'Ui']
[' | ', 'D', 'Ri', 'Di', 'U2', 'R2', 'U2', 'yi', 'L2', 'D', 'R', 'Di', ' | ', 'Fi', 'U', 'F', ' | ', 'yi', 'Li', 'U', 'L', 'U2', 'L', 'U', 'Li', ' | ', 'Ui', 'R', 'U2', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'F', 'U', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'Li', 'U2', 'L', 'U2', 'L', 'Fi', 'Li', 'F', ' | ', 'Ui', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'U2']
[' | ', 'U2', 'L', 'Fi', 'Li', 'U2', 'F', 'Ri', 'Fi', 'D', 'L', 'Di', 'U2', 'yi', 'L', 'Fi', 'Li', ' | ', 'Ui', 'yi', 'L', 'U', 'Li', 'U2', 'Fi', 'Ui', 'F', ' | ', 'Ui', 'L', 'U2', 'Li', 'Ui', 'L', 'U', 'Li', ' | ', 'F', 'Ui', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', 'U2', 'y', 'R', 'Ui', 'Ri', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'U', 'L', 'Fi', 'Ui', 'F', 'Li', 'Fi', 'U', 'Li', 'F', ' | ']
[' | ', 'U', 'L', 'Fi', 'Li', 'U2', 'F', 'Ri', 'Fi', 'Ui', 'yi', 'L2', 'Di', 'Li', 'D', ' | ', 'U2', 'Fi', 'Ui', 'F', 'U', 'F', 'U', 'Fi', ' | ', 'Fi', 'U2', 'F', 'U2', 'yi', 'L', 'U', 'Li', ' | ', 'U', 'Ri', 'U2', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'F', 'U2', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'Li', 'U2', 'Li', 'Di', 'L', 'U2', 'Li', 'D', 'L2', ' | ', 'Ui', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'U2']
[' | ', 'Di', 'L', 'D', 'U', 'R2', 'D', 'Li', 'Di', 'D', 'Fi', 'Di', ' | ', 'U2', 'L', 'U2', 'Li', 'Li', 'Ui', 'L', ' | ', 'y', 'Ri', 'Ui', 'R', 'U', 'F', 'U', 'Fi', ' | ', 'U', 'Fi', 'U2', 'F', 'U', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'L', 'Ui', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ', 'U2', 'Fi', 'M', 'Ui', 'F', 'U', 'Mi', 'Ui', 'Fi', 'U', 'F', 'U2']
[' | ', 'U2', 'L', 'Fi', 'Li', 'D', 'y', 'Ri', 'Di', 'Ri', 'D', 'Li', 'Di', ' | ', 'Ui', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', 'U2', 'Li', 'U2', 'L', 'U', 'Ri', 'Ui', 'R', ' | ', 'Li', 'U2', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'Li', 'U2', 'Li', 'Di', 'L', 'U2', 'Li', 'D', 'L2', ' | ', 'U', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi']
[' | ', 'y', 'R', 'D2', 'Ri', 'D2', 'U2', 'F2', 'Ui', 'F', 'Ri', 'Fi', 'D', 'Li', 'Di', ' | ', 'yi', 'Li', 'U', 'L', 'F', 'U', 'Fi', ' | ', 'Ui', 'y', 'Ri', 'Ui', 'R', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'Ui', 'Ri', 'Ui', 'R', 'U2', 'Fi', 'Ui', 'F', ' | ', 'U2', 'yi', 'L', 'U', 'Li', 'U', 'L', 'Ui', 'Li', ' | ', ' | ', 'Ui', 'Ri', 'F', 'R', 'U', 'F', 'Ui', 'R', 'U', 'Ri', 'Ui', 'Fi', ' | ']
[' | ', 'L', 'Fi', 'Li', 'Ui', 'R2', 'Di', 'yi', 'L', 'D', ' | ', 'U', 'R', 'U', 'Ri', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U2', 'F', 'U', 'Fi', 'y', 'R', 'U', 'Ri', ' | ', 'U', 'F', 'U2', 'Fi', 'U', 'F', 'U', 'Fi', ' | ', 'Ui', 'yi', 'Li', 'U2', 'L', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'U', 'Li', 'Ui', 'L', 'Ui', 'Li', 'U', 'Li', 'Di', 'L', 'U', 'Li', 'D', 'L2', ' | ', 'U2', 'Mi', 'Ui', 'Mi', 'U2', 'Mi', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'U', 'M2', 'Ui']
[' | ', 'D', 'Ri', 'Di', 'D', 'y', 'R', 'Di', 'Ui', 'F', 'Ri', 'Fi', 'yi', 'L2', ' | ', 'U2', 'Ri', 'U2', 'R', 'R', 'U', 'Ri', ' | ', 'Ui', 'Li', 'U2', 'L', 'L', 'U', 'Li', ' | ', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', 'Ui', 'Fi', ' | ', 'Ui', 'y', 'R', 'Ui', 'Ri', 'Ui', 'Fi', 'U', 'F', ' | ', ' | ', 'F', 'U2', 'Fi', 'Ui', 'F', 'U', 'Fi', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'Ui', 'Mi', 'Ui', 'M', 'U', 'Mi', 'U', 'M', 'U', 'Mi', 'U', 'M', 'U2', 'Mi', 'Ui', 'M', 'U']
[' | ', 'D', 'R', 'Di', 'F', 'Ri', 'Fi', 'Ui', 'yi', 'L2', 'D', 'Ri', 'Di', ' | ', 'U2', 'L', 'U2', 'Li', 'Ui', 'Fi', 'Ui', 'F', ' | ', 'U', 'yi', 'Li', 'Ui', 'L', 'Ui', 'L', 'Ui', 'Li', ' | ', 'U', 'Fi', 'U2', 'F', 'Ui', 'Li', 'U', 'L', ' | ', 'U2', 'R', 'Ui', 'Ri', ' | ', ' | ', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U2', 'R2', 'U', 'Ri', 'U', 'R', 'U2', 'Ri', ' | ', 'Ui', 'Li', 'M', 'Ui', 'L', 'U', 'Mi', 'Ui', 'Li', 'U', 'L', 'Ui']
[' | ', 'D', 'R', 'Di', 'U2', 'R2', 'U2', 'y', 'R2', ' | ', 'U2', 'F', 'U2', 'Fi', 'Ui', 'yi', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Ri', 'U', 'R', ' | ', 'U2', 'R', 'U2', 'Ri', 'Ui', 'Li', 'U', 'L', ' | ', 'U', 'Fi', 'Ui', 'F', ' | ', ' | ', 'Ui', 'yi', 'L', 'F2', 'D', 'Fi', 'U', 'F', 'Di', 'F2', 'Ui', 'Li', ' | ', 'U2', 'y', 'Ri', 'M', 'Ui', 'R', 'U', 'Mi', 'Ui', 'Ri', 'U', 'R', 'U2']
[' | ', 'Ui', 'L', 'Fi', 'Li', 'Ri', 'U2', 'R', 'y', 'Ri', 'Fi', 'y', 'R', 'Di', 'F', 'D', ' | ', 'U', 'Li', 'U2', 'L', 'U2', 'Li', 'U', 'L', ' | ', 'U2', 'Ri', 'Ui', 'R', 'U2', 'y', 'R', 'Ui', 'Ri', ' | ', 'F', 'U', 'Fi', 'yi', 'L', 'U', 'Li', ' | ', 'L', 'U', 'Li', 'U', 'L', 'U2', 'Li', 'Fi', 'U', 'F', ' | ', ' | ', 'U', 'F', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', 'Ui', 'Fi', ' | ', 'U', 'Mi', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui', 'Mi', 'Ui']
[' | ', 'R', 'F', 'y', 'R', 'D', 'Ri', 'Di', 'F', 'Ri', 'Fi', 'D', 'Li', 'Di', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'U', 'R', 'Ui', 'Ri', ' | ', 'U', 'F', 'U2', 'Fi', 'U2', 'L', 'Ui', 'Li', ' | ', 'Ui', 'y', 'R', 'U2', 'Ri', 'Ui', 'L', 'Ui', 'Li', ' | ', 'Ui', 'R', 'Ui', 'Ri', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U2', 'Ri', 'F', 'Ui', 'R', 'F', 'Ri', 'U', 'R', 'Fi', ' | ']
[' | ', 'F', 'U', 'F', 'Ri', 'Fi', 'U', 'R', 'y', 'Ri', 'Fi', 'Di', 'Ri', 'D', ' | ', 'U', 'yi', 'L', 'U2', 'Li', 'U2', 'F', 'U', 'Fi', ' | ', 'U2', 'L', 'U', 'Li', ' | ', 'Ui', 'Fi', 'U2', 'F', 'U', 'Fi', 'Ui', 'F', ' | ', 'U2', 'Ri', 'Ui', 'R', 'U2', 'Ri', 'U', 'R', ' | ', ' | ', 'U', 'yi', 'L', 'F', 'Ui', 'Fi', 'U', 'F', 'U2', 'Fi', 'Ui', 'Li', ' | ', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'U', 'M', 'U2', 'Mi', 'U', 'M']
[' | ', 'Ui', 'F', 'Ri', 'Fi', 'Ui', 'yi', 'L2', 'Fi', ' | ', 'Ri', 'U', 'R', 'U2', 'Ri', 'Ui', 'R', ' | ', 'U2', 'Li', 'U', 'L', 'F', 'U', 'Fi', ' | ', 'U', 'L', 'U', 'Li', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'F', 'Ui', 'Fi', ' | ', ' | ', 'U2', 'R2', 'D', 'Ri', 'U2', 'R', 'Di', 'Ri', 'U2', 'Ri', ' | ', 'U', 'M', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'Mi', 'U2']
[' | ', 'L', 'Fi', 'Li', 'Ri', 'Di', 'R', 'D', 'U', 'L2', ' | ', 'U2', 'L', 'Ui', 'Li', 'U', 'F', 'Ui', 'Fi', ' | ', 'U', 'Ri', 'U2', 'R', 'R', 'U', 'Ri', ' | ', 'U', 'Ri', 'U', 'R', 'Ui', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'L', 'Ui', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', ' | ', 'Fi', 'Ui', 'F', 'Ui', 'Fi', 'U', 'F', 'R', 'y', 'R', 'U', 'Ri', 'Fi', ' | ', 'U2', 'yi', 'L', 'U', 'L', 'Fi', 'Li', 'F', 'Ui', 'Li', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'U2']
[' | ', 'U2', 'F2', 'L', 'D', 'y', 'R', 'Di', 'Di', 'Fi', 'D', 'Ui', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ui', 'y', 'R', 'U', 'Ri', 'U2', 'R', 'U', 'Ri', ' | ', 'U2', 'Ri', 'U', 'R', 'Ui', 'F', 'U', 'Fi', ' | ', 'U2', 'Ri', 'Ui', 'R', 'Ui', 'Ri', 'U', 'R', ' | ', 'Ui', 'L', 'Ui', 'Li', 'Ui', 'yi', 'Li', 'U', 'L', ' | ', ' | ', 'F', 'Ui', 'y', 'Ri', 'U', 'Li', 'Ui', 'R', ' | ']
[' | ', 'Ui', 'F2', 'U2', 'F', 'Ri', 'Fi', 'Ui', 'y', 'R2', ' | ', 'Ri', 'Ui', 'R', ' | ', 'U', 'R', 'U', 'Ri', ' | ', 'Ui', 'F', 'U2', 'Fi', 'U', 'F', 'Ui', 'Fi', ' | ', 'U2', 'L', 'U2', 'Li', 'U2', 'yi', 'Li', 'Ui', 'L', ' | ', ' | ', 'U', 'L', 'Fi', 'Li', 'F', 'U', 'F', 'Ui', 'Fi', ' | ', 'Ui', 'Ri', 'M', 'Ui', 'R', 'U', 'Mi', 'Ui', 'Ri', 'U', 'R']
[' | ', 'Ri', 'yi', 'L', 'F', ' | ', 'Ui', 'Fi', 'U', 'F', 'Li', 'U', 'L', ' | ', 'Ui', 'Fi', 'U', 'F', 'U2', 'Ri', 'U', 'R', ' | ', 'Ui', 'yi', 'Li', 'U', 'L', 'U', 'Ri', 'Ui', 'R', ' | ', 'U', 'Li', 'Ui', 'L', 'Ui', 'F', 'U', 'Fi', ' | ', ' | ', 'L', 'Ui', 'Ri', 'U', 'Li', 'U', 'R', 'U', 'Ri', 'U', 'R', ' | ', 'M', 'U', 'L', 'U', 'Li', 'Ui', 'M2', 'U', 'L', 'Ui', 'Li', 'M', 'Ui']
[' | ', 'U2', 'L', 'Fi', 'Li', 'y', 'R', 'F', 'R', 'Di', 'Ri', 'D', ' | ', 'R', 'U2', 'Ri', 'Ui', 'F', 'U', 'Fi', ' | ', 'y', 'R', 'U2', 'Ri', 'U', 'Fi', 'Ui', 'F', ' | ', 'U2', 'Li', 'U', 'L', ' | ', 'U', 'y', 'R', 'U2', 'Ri', 'U2', 'Fi', 'Ui', 'F', ' | ', ' | ', 'U', 'R', 'U2', 'R2', 'F', 'R', 'Fi', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'y', 'Ri', 'Ui', 'Ri', 'F', 'R', 'Fi', 'U', 'R', 'F', 'R', 'U', 'Ri', 'Ui', 'Fi', 'Ui']
[' | ', 'D', 'Ri', 'Di', 'D', 'y', 'R', 'Di', 'Di', 'F', 'D', 'y', 'R', 'Di', 'F', 'D', ' | ', 'U', 'Li', 'U', 'L', 'Ui', 'y', 'Ri', 'U', 'R', ' | ', 'U2', 'Fi', 'Ui', 'F', 'Ui', 'F', 'U', 'Fi', ' | ', 'U2', 'R', 'U', 'Ri', ' | ', 'L', 'U', 'Li', ' | ', ' | ', 'U2', 'R', 'U2', 'Ri', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'U2', 'y', 'Ri', 'Ui', 'R', 'U', 'M', 'Ui', 'Ri', 'U', 'R', 'Mi', 'U2']
[' | ', 'F', 'Di', 'L', 'D', 'L', 'D', 'yi', 'L', 'Di', 'Ui', 'L2', 'Ui', 'F2', ' | ', 'Ui', 'F', 'Ui', 'Fi', 'U2', 'L', 'U', 'Li', ' | ', 'Fi', 'U2', 'F', 'Ri', 'Ui', 'R', ' | ', 'U2', 'R', 'U', 'Ri', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'Ui', 'Fi', 'U', 'F', 'U2', 'R', 'U', 'Ri', ' | ', ' | ', 'U', 'Li', 'Ui', 'L', 'U', 'L', 'Fi', 'Li', 'F', ' | ']
[' | ', 'y', 'R', 'D2', 'Ri', 'D2', 'F2', 'U', 'R', 'y', 'Ri', 'Fi', ' | ', 'Ui', 'y', 'Ri', 'Ui', 'R', ' | ', 'Ui', 'Fi', 'U2', 'F', 'Ui', 'Fi', 'U', 'F', ' | ', 'U', 'Li', 'U2', 'L', 'Ui', 'F', 'Ui', 'Fi', ' | ', 'U2', 'L', 'U', 'Li', 'U', 'y', 'Ri', 'Ui', 'R', ' | ', ' | ', 'U', 'Fi', 'Ui', 'F', 'U', 'F', 'Ri', 'Fi', 'R', ' | ', 'U', 'Mi', 'Ui', 'Mi', 'U2', 'M', 'Ui', 'M2', 'Ui', 'Mi']
[' | ', 'R', 'D', 'Ri', 'Di', 'Ri', 'L', 'D', 'Li', 'Di', 'Ui', 'yi', 'L', 'Fi', 'Li', ' | ', 'U2', 'L', 'U', 'Li', 'U2', 'L', 'Ui', 'Li', ' | ', 'Ui', 'Ri', 'U2', 'R', 'Ui', 'yi', 'L', 'U', 'Li', ' | ', 'Ui', 'Fi', 'U', 'F', 'y', 'R', 'Ui', 'Ri', ' | ', 'U', 'F', 'U2', 'Fi', 'U2', 'F', 'U', 'Fi', ' | ', ' | ', 'U', 'F', 'R', 'Ui', 'Ri', 'Ui', 'R', 'U', 'Ri', 'Fi', ' | ', 'U2', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'U']
[' | ', 'D2', 'y', 'Ri', 'D2', 'U', 'L', 'Fi', 'Li', 'F', 'Ri', 'Fi', 'Di', 'R', 'D', ' | ', 'U', 'Li', 'Ui', 'L', 'U2', 'L', 'U', 'Li', ' | ', 'U', 'Fi', 'U', 'F', ' | ', 'yi', 'L', 'U', 'Li', ' | ', 'R', 'Ui', 'Ri', 'U', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', ' | ', ' | ', 'R', 'U2', 'Ri', 'Ui', 'R', 'U', 'Ri', 'U2', 'Ri', 'F', 'R', 'Fi', ' | ', 'M', 'U', 'Mi', 'U2', 'M', 'U', 'Mi', 'U']
